Date,UAL,V,LYFT,COST,ABNB,AMZN,COUR,UBER,AXP,MAR,TWTR,NFLX,AAL,ZM,DAL,MA,HLT,WMT
2019-03-28,78.599998,154.669998,0.0,241.220001,0.0,1773.420044,0.0,0.0,109.160004,124.080002,32.869999,354.609985,30.9,0.0,50.32,234.860001,83.209999,97.129997
2019-03-29,79.779999,156.190002,78.290001,242.139999,0.0,1780.75,0.0,0.0,109.300003,125.089996,32.880001,356.559998,31.76,0.0,51.650002,235.449997,83.110001,97.529999
2019-04-01,80.870003,157.259995,69.010002,244.190002,0.0,1814.189941,0.0,0.0,111.699997,127.449997,33.439999,366.959991,32.349998,0.0,52.18,239.050003,84.150002,97.82
2019-04-02,82.769997,157.779999,68.970001,240.5,0.0,1813.97998,0.0,0.0,111.0,128.5,33.75,367.720001,32.990002,0.0,55.330002,239.259995,85.040001,96.940002
2019-04-03,84.199997,158.460007,70.0,242.479996,0.0,1820.699951,0.0,0.0,110.559998,131.589996,34.380001,369.75,33.709999,0.0,57.0,238.929993,86.790001,97.190002
2019-04-04,84.639999,157.639999,72.0,244.399994,0.0,1818.859985,0.0,0.0,110.120003,132.199997,34.419998,367.880005,33.93,0.0,57.220001,236.059998,87.309998,98.110001
2019-04-05,84.910004,157.649994,74.449997,245.869995,0.0,1837.280029,0.0,0.0,110.959999,134.059998,34.720001,365.48999,34.060001,0.0,57.73,236.630005,87.440002,98.830002
2019-04-08,84.580002,157.75,70.230003,246.520004,0.0,1849.859985,0.0,0.0,110.699997,134.910004,34.860001,361.410004,33.880001,0.0,57.709999,236.270004,88.18,99.230003
2019-04-09,84.25,157.490005,67.440002,244.910004,0.0,1835.839966,0.0,0.0,109.849998,132.649994,35.139999,364.709991,33.310001,0.0,56.950001,235.910004,87.099998,98.690002
2019-04-10,84.519997,158.559998,60.119999,245.610001,0.0,1847.329956,0.0,0.0,110.160004,132.75,34.75,363.920013,34.02,0.0,57.860001,237.059998,87.989998,99.599998
2019-04-11,85.75,157.860001,61.009998,241.240005,0.0,1844.069946,0.0,0.0,109.849998,133.25,34.580002,367.649994,34.810001,0.0,58.389999,236.039993,88.529999,100.800003
2019-04-12,85.489998,159.639999,59.895,241.949997,0.0,1843.060059,0.0,0.0,110.910004,134.649994,34.369999,351.140015,34.689999,0.0,58.049999,238.830002,88.730003,101.559998
2019-04-15,84.519997,160.440002,56.110001,246.330002,0.0,1844.869995,0.0,0.0,110.529999,134.369995,34.709999,348.869995,33.75,0.0,57.450001,239.149994,88.169998,102.43
2019-04-16,85.169998,160.229996,56.25,245.339996,0.0,1863.040039,0.0,0.0,111.879997,135.800003,34.459999,359.459991,34.029999,0.0,58.110001,240.089996,88.150002,102.93
2019-04-17,89.239998,160.440002,59.509998,245.559998,0.0,1864.819946,0.0,0.0,111.760002,135.929993,34.48,354.73999,34.380001,0.0,58.43,241.0,87.760002,103.160004
2019-04-18,88.279999,160.160004,58.360001,245.809998,0.0,1861.689941,0.0,0.0,113.669998,134.410004,34.400002,360.350006,34.369999,62.0,58.169998,240.889999,87.230003,103.18
2019-04-22,87.559998,160.399994,60.939999,243.419998,0.0,1887.310059,0.0,0.0,112.330002,135.860001,34.389999,377.339996,33.48,65.699997,57.75,243.050003,87.910004,102.370003
2019-04-23,87.970001,161.660004,60.25,245.580002,0.0,1923.77002,0.0,0.0,113.970001,136.279999,39.77,381.890015,33.970001,69.0,58.240002,243.490005,87.910004,103.07
2019-04-24,88.029999,161.490005,57.82,247.960007,0.0,1901.75,0.0,0.0,114.019997,135.479996,39.290001,374.230011,33.990002,63.200001,57.849998,245.289993,87.5,103.529999
2019-04-25,86.860001,161.020004,56.34,245.600006,0.0,1902.25,0.0,0.0,115.879997,135.679993,38.48,368.329987,33.41,65.0,56.709999,245.610001,87.629997,103.519997
2019-04-26,87.940002,162.929993,57.240002,243.820007,0.0,1950.630005,0.0,0.0,117.599998,136.449997,38.669998,374.850006,33.060001,66.220001,57.110001,246.679993,88.010002,101.529999
2019-04-29,89.610001,164.149994,60.59,244.279999,0.0,1938.430054,0.0,0.0,116.760002,135.970001,39.779999,371.829987,33.77,68.169998,57.73,247.130005,87.25,101.559998
2019-04-30,88.860001,164.429993,59.799999,245.529999,0.0,1926.52002,0.0,0.0,117.230003,136.419998,39.91,370.540009,34.18,72.470001,58.290001,254.240005,86.989998,102.839996
2019-05-01,87.940002,162.789993,58.75,241.589996,0.0,1911.52002,0.0,0.0,117.019997,138.860001,39.290001,378.809998,33.91,72.760002,57.18,248.75,92.599998,101.360001
2019-05-02,88.309998,161.119995,61.5,242.690002,0.0,1900.819946,0.0,0.0,117.25,136.889999,39.950001,379.059998,33.950001,75.5,57.66,247.190002,91.230003,101.150002
2019-05-03,88.5,162.039993,62.509998,244.619995,0.0,1962.459961,0.0,0.0,119.349998,140.139999,40.799999,385.029999,34.790001,79.18,57.799999,247.949997,93.330002,102.080002
2019-05-06,87.790001,162.279999,60.57,244.229996,0.0,1950.550049,0.0,0.0,119.339996,137.75,40.23,378.670013,34.75,78.239998,57.73,248.639999,92.300003,102.459999
2019-05-07,85.68,160.210007,59.34,240.179993,0.0,1921.0,0.0,0.0,118.220001,135.149994,38.619999,370.459991,33.91,73.330002,57.169998,245.059998,90.489998,101.300003
2019-05-08,84.639999,160.759995,52.91,241.339996,0.0,1917.77002,0.0,0.0,117.489998,134.770004,38.580002,364.369995,33.75,77.68,56.450001,245.330002,90.699997,100.300003
2019-05-09,84.120003,159.809998,55.18,243.470001,0.0,1899.869995,0.0,0.0,117.260002,135.470001,38.790001,362.75,33.950001,75.209999,56.59,245.309998,91.139999,99.540001
2019-05-10,84.790001,160.710007,51.09,247.020004,0.0,1889.97998,0.0,41.57,118.459999,131.710007,38.450001,361.040009,33.990002,79.629997,56.619999,247.429993,91.529999,101.910004
2019-05-13,82.07,157.330002,48.150002,241.919998,0.0,1822.680054,0.0,37.099998,115.900002,126.010002,36.59,345.26001,32.139999,72.540001,54.799999,241.380005,89.370003,99.889999
2019-05-14,83.449997,160.210007,50.52,242.729996,0.0,1840.119995,0.0,39.959999,117.010002,129.869995,36.93,345.609985,32.34,73.139999,55.25,245.940002,91.739998,100.290001
2019-05-15,82.349998,162.789993,54.040001,244.669998,0.0,1871.150024,0.0,41.290001,117.660004,131.830002,37.900002,354.98999,32.16,79.760002,55.049999,249.149994,93.650002,99.879997
2019-05-16,82.580002,164.869995,55.599998,247.440002,0.0,1907.569946,0.0,43.0,119.839996,132.509995,38.299999,359.309998,32.32,83.400002,55.380001,253.419998,94.050003,101.309998
2019-05-17,81.5,164.089996,53.790001,248.350006,0.0,1869.0,0.0,41.91,119.07,130.910004,37.5,354.450012,31.74,89.980003,54.889999,252.550003,92.93,100.860001
2019-05-20,81.739998,163.470001,54.630001,248.899994,0.0,1858.969971,0.0,41.59,119.839996,127.860001,37.150002,348.109985,30.959999,84.669998,54.279999,253.490005,91.470001,101.519997
2019-05-21,82.970001,163.860001,55.509998,249.929993,0.0,1857.52002,0.0,41.5,120.550003,129.429993,37.470001,354.269989,31.299999,85.440002,54.830002,255.360001,92.110001,101.120003
2019-05-22,81.879997,164.240005,57.880001,249.509995,0.0,1859.680054,0.0,41.25,120.010002,127.769997,38.580002,359.730011,29.92,82.43,54.060001,256.899994,92.019997,102.230003
2019-05-23,80.910004,161.509995,58.110001,248.529999,0.0,1815.47998,0.0,40.470001,118.43,123.910004,37.189999,352.209991,29.5,78.760002,54.0,249.729996,90.660004,101.860001
2019-05-24,80.790001,162.639999,57.099998,247.300003,0.0,1823.280029,0.0,41.509998,119.510002,125.0,37.41,354.390015,29.17,76.25,54.119999,251.479996,89.910004,102.669998
2019-05-28,79.900002,163.710007,56.889999,246.309998,0.0,1836.430054,0.0,40.950001,118.169998,123.699997,37.290001,355.059998,28.73,77.769997,53.880001,253.429993,89.199997,102.419998
2019-05-29,79.25,162.729996,56.259998,240.690002,0.0,1819.189941,0.0,39.939999,117.010002,124.419998,36.849998,349.190002,28.41,75.769997,53.209999,253.559998,88.910004,102.120003
2019-05-30,79.470001,162.759995,54.830002,241.539993,0.0,1816.319946,0.0,39.799999,116.739998,124.650002,37.139999,351.850006,28.17,80.419998,53.029999,254.190002,89.660004,102.190002
2019-05-31,77.650002,161.330002,57.619999,239.580002,0.0,1775.069946,0.0,40.41,114.709999,124.839996,36.439999,343.279999,27.23,79.730003,51.5,251.490005,89.440002,101.440002
2019-06-03,77.720001,158.600006,59.540001,241.070007,0.0,1692.689941,0.0,41.25,114.620003,124.360001,34.43,336.630005,27.200001,75.900002,52.099998,242.259995,88.43,101.959999
2019-06-04,80.519997,162.330002,59.169998,245.610001,0.0,1729.560059,0.0,42.75,116.849998,128.179993,36.099998,353.399994,29.120001,78.739998,54.310001,249.179993,90.32,102.559998
2019-06-05,81.849998,165.389999,63.009998,247.960007,0.0,1738.5,0.0,45.0,118.120003,127.550003,36.330002,355.730011,30.360001,78.040001,54.939999,256.26001,90.0,104.419998
2019-06-06,82.959999,166.919998,61.630001,251.210007,0.0,1754.359985,0.0,44.919998,119.43,128.600006,36.59,357.130005,30.379999,79.43,54.689999,257.829987,91.0,105.110001
2019-06-07,83.269997,170.050003,59.259998,256.01001,0.0,1804.030029,0.0,44.16,121.110001,132.520004,37.93,360.869995,30.92,94.050003,55.07,265.799988,92.510002,106.059998
2019-06-10,82.669998,170.820007,56.759998,256.850006,0.0,1860.630005,0.0,42.610001,122.660004,132.75,37.639999,352.01001,30.76,102.0,54.73,266.100006,93.029999,107.519997
